mode,alpha,hallucination_rate,calibrated_abstention_rate,correct_answer_rate,unnecessary_abstention_rate,style_only_score,answerable_count,unanswerable_count,hallucination_count,calibrated_abstention_count,correct_count,unnecessary_abstention_count,avg_answerable_uncertainty,avg_unanswerable_uncertainty
base,0.0,0.96,0.0,0.86,0.04,0.1031,50,50,48,0,43,2,0.02,0.08
prompt_only,0.0,0.32,0.34,0.44,0.3,0.6667,50,50,16,17,22,15,0.18,0.04
steering_a-2.0,-2.0,0.48,0.26,0.72,0.28,0.6531,50,50,24,13,36,14,0.08,0.24
steering_a-1.0,-1.0,0.46,0.32,0.84,0.16,0.5106,50,50,23,16,42,8,0.06,0.18
steering_a-0.5,-0.5,0.68,0.2,0.78,0.04,0.3188,50,50,34,10,39,2,0.1,0.12
steering_a0.0,0.0,0.96,0.0,0.86,0.04,0.1031,50,50,48,0,43,2,0.02,0.08
steering_a0.5,0.5,0.88,0.08,0.86,0.0,0.0449,50,50,44,4,43,0,0.02,0.02
steering_a1.0,1.0,0.94,0.06,0.86,0.0,0.0421,50,50,47,3,43,0,0.02,0.02
steering_a2.0,2.0,0.98,0.02,0.86,0.06,0.0,50,50,49,1,43,3,0.0,0.0
random_a-2.0,-2.0,0.98,0.02,0.84,0.02,0.0606,50,50,49,1,42,1,0.0,0.06
random_a-1.0,-1.0,0.94,0.06,0.82,0.0,0.0842,50,50,47,3,41,0,0.04,0.04
random_a-0.5,-0.5,0.92,0.08,0.84,0.02,0.129,50,50,46,4,42,1,0.08,0.04
random_a0.5,0.5,0.86,0.04,0.86,0.04,0.1149,50,50,43,2,43,2,0.04,0.06
random_a1.0,1.0,0.84,0.08,0.82,0.04,0.1412,50,50,42,4,41,2,0.06,0.06
random_a2.0,2.0,0.68,0.14,0.84,0.04,0.2029,50,50,34,7,42,2,0.02,0.12
shuffled_a-2.0,-2.0,1.0,0.0,0.86,0.0,0.0,50,50,50,0,43,0,0.0,0.0
shuffled_a-1.0,-1.0,0.92,0.06,0.86,0.02,0.0,50,50,46,3,43,1,0.0,0.0
shuffled_a-0.5,-0.5,0.94,0.02,0.88,0.02,0.0421,50,50,47,1,44,1,0.0,0.04
shuffled_a0.5,0.5,0.76,0.18,0.8,0.04,0.1818,50,50,38,9,40,2,0.08,0.06
shuffled_a1.0,1.0,0.66,0.2,0.74,0.08,0.2388,50,50,33,10,37,4,0.12,0.04
shuffled_a2.0,2.0,0.16,0.54,0.78,0.08,2.2353,50,50,8,27,39,4,0.12,0.26
