train_size_per_class,train_n_pos,train_n_neg,probe_train_acc,probe_test_acc,gate_type,gate_kwargs,H,C,UA,oracle_gap,gate_on_count,gate_mean,gate_std,gen_time_s,train_time_s
15,15,15,1.0,1.0,hard,{'gate_type': 'hard'},0.6667,0.6,0.0,-0.0003,30,0.5,0.5,531.5,86.5
15,15,15,1.0,1.0,soft_T0.1,"{'gate_type': 'soft', 'soft_temperature': 0.1}",0.6667,0.6,0.0,-0.0003,34,0.5084,0.4885,485.4,86.5
15,15,15,1.0,1.0,soft_T0.3,"{'gate_type': 'soft', 'soft_temperature': 0.3}",0.8333,0.5333,0.0,0.1663,60,0.5082,0.3347,457.9,86.5
15,15,15,1.0,1.0,confidence_aware,"{'gate_type': 'confidence_aware', 'confidence_zone': (0.35, 0.65)}",0.6667,0.6,0.0,-0.0003,30,0.5,0.5,479.3,86.5
10,10,10,1.0,1.0,hard,{'gate_type': 'hard'},0.6667,0.6,0.0,-0.0003,30,0.5,0.5,554.1,8.0
10,10,10,1.0,1.0,soft_T0.1,"{'gate_type': 'soft', 'soft_temperature': 0.1}",0.6667,0.6,0.0,-0.0003,34,0.5017,0.4914,465.6,8.0
10,10,10,1.0,1.0,soft_T0.3,"{'gate_type': 'soft', 'soft_temperature': 0.3}",0.8333,0.5333,0.0,0.1663,60,0.5051,0.3344,451.7,8.0
10,10,10,1.0,1.0,confidence_aware,"{'gate_type': 'confidence_aware', 'confidence_zone': (0.35, 0.65)}",0.6667,0.6,0.0,-0.0003,30,0.5,0.5,454.6,8.0
7,7,7,1.0,0.9833,hard,{'gate_type': 'hard'},0.6667,0.6333,0.0,-0.0003,31,0.5167,0.4997,450.6,8.3
7,7,7,1.0,0.9833,soft_T0.1,"{'gate_type': 'soft', 'soft_temperature': 0.1}",0.6667,0.6333,0.0,-0.0003,37,0.5235,0.4859,450.2,8.3
7,7,7,1.0,0.9833,soft_T0.3,"{'gate_type': 'soft', 'soft_temperature': 0.3}",0.8333,0.6333,0.0,0.1663,60,0.5182,0.3263,447.6,8.3
7,7,7,1.0,0.9833,confidence_aware,"{'gate_type': 'confidence_aware', 'confidence_zone': (0.35, 0.65)}",0.6667,0.6333,0.0,-0.0003,31,0.5167,0.4997,554.4,8.3
5,5,5,1.0,0.8833,hard,{'gate_type': 'hard'},0.6667,0.6333,0.0333,-0.0003,37,0.6167,0.4862,777.3,5.2
5,5,5,1.0,0.8833,soft_T0.1,"{'gate_type': 'soft', 'soft_temperature': 0.1}",0.6667,0.6333,0.0333,-0.0003,41,0.5948,0.4563,653.9,5.2
5,5,5,1.0,0.8833,soft_T0.3,"{'gate_type': 'soft', 'soft_temperature': 0.3}",0.8333,0.5667,0.0,0.1663,60,0.5631,0.306,657.9,5.2
5,5,5,1.0,0.8833,confidence_aware,"{'gate_type': 'confidence_aware', 'confidence_zone': (0.35, 0.65)}",0.6667,0.6333,0.0333,-0.0003,33,0.55,0.4975,635.3,5.2
3,3,3,1.0,0.95,hard,{'gate_type': 'hard'},0.6667,0.6,0.0333,-0.0003,33,0.55,0.4975,652.6,4.7
3,3,3,1.0,0.95,soft_T0.1,"{'gate_type': 'soft', 'soft_temperature': 0.1}",0.6667,0.6,0.0,-0.0003,45,0.56,0.4639,856.0,4.7
3,3,3,1.0,0.95,soft_T0.3,"{'gate_type': 'soft', 'soft_temperature': 0.3}",0.8333,0.5667,0.0,0.1663,60,0.5418,0.3062,754.6,4.7
3,3,3,1.0,0.95,confidence_aware,"{'gate_type': 'confidence_aware', 'confidence_zone': (0.35, 0.65)}",0.6667,0.6,0.0,-0.0003,30,0.5,0.5,686.5,4.7
