n_per_class,repeat_idx,subsample_seed,train_n_pos,train_n_neg,probe_train_acc,probe_cv_acc,probe_test_acc,gate_type,H,C,UA,oracle_gap,gate_on_count,gate_mean,gate_std,gen_time_s,train_time_s
15,0,2500,15,15,1.0,1.0,1.0,hard,0.6667,0.6,0.0,-0.0003,30,0.5,0.5,991.0,49.2
15,0,2500,15,15,1.0,1.0,1.0,soft_T0.1,0.6667,0.6,0.0,-0.0003,34,0.5084,0.4885,992.2,49.2
5,1,1501,5,5,1.0,0.8056,1.0,hard,0.6667,0.6,0.0,-0.0003,30,0.5,0.5,827.8,19.4
5,1,1501,5,5,1.0,0.8056,1.0,soft_T0.1,0.7,0.6,0.0,0.033,34,0.4971,0.4876,906.4,19.4
5,1,1501,5,5,1.0,0.8056,1.0,soft_T0.3,0.8333,0.5333,0.0,0.1663,60,0.4926,0.3236,1419.3,19.4
5,1,1501,5,5,1.0,0.8056,1.0,confidence_aware,0.6667,0.6,0.0,-0.0003,30,0.5,0.5,1497.0,19.4
7,1,1701,7,7,1.0,1.0,1.0,hard,0.6667,0.6,0.0,-0.0003,30,0.5,0.5,993.9,14.6
7,1,1701,7,7,1.0,1.0,1.0,soft_T0.1,0.6667,0.6,0.0,-0.0003,37,0.5074,0.4871,1053.2,14.6
7,1,1701,7,7,1.0,1.0,1.0,soft_T0.3,0.8333,0.5333,0.0,0.1663,60,0.5118,0.3294,1029.5,14.6
10,0,2000,10,10,1.0,1.0,0.9833,hard,0.6667,0.6333,0.0,-0.0003,31,0.5167,0.4997,1140.6,23.6
10,0,2000,10,10,1.0,1.0,0.9833,soft_T0.1,0.6667,0.6,0.0,-0.0003,35,0.5102,0.4878,1027.2,23.6
7,0,1700,7,7,1.0,0.85,0.9833,hard,0.6667,0.6333,0.0,-0.0003,31,0.5167,0.4997,939.7,20.9
7,0,1700,7,7,1.0,0.85,0.9833,soft_T0.1,0.6667,0.6333,0.0,-0.0003,44,0.5202,0.4883,955.8,20.9
7,0,1700,7,7,1.0,0.85,0.9833,soft_T0.3,0.8333,0.5667,0.0,0.1663,60,0.5221,0.3262,1033.3,20.9
5,0,1500,5,5,1.0,0.5556,1.0,hard,0.6667,0.6,0.0,-0.0003,30,0.5,0.5,1019.7,15.7
5,0,1500,5,5,1.0,0.5556,1.0,soft_T0.1,0.6667,0.6,0.0,-0.0003,38,0.5098,0.4851,947.1,15.7
5,0,1500,5,5,1.0,0.5556,1.0,soft_T0.3,0.8333,0.5333,0.0,0.1663,60,0.5141,0.3253,998.5,15.7
5,0,1500,5,5,1.0,0.5556,1.0,confidence_aware,0.6667,0.6,0.0,-0.0003,30,0.5,0.5,1088.4,15.7
5,2,1502,5,5,1.0,0.7778,1.0,hard,0.6667,0.6,0.0,-0.0003,30,0.5,0.5,1444.5,32.3
5,2,1502,5,5,1.0,0.7778,1.0,soft_T0.1,0.6667,0.6,0.0,-0.0003,33,0.4973,0.4873,1352.4,32.3
