seed,layer,mode,alpha,hallucination_rate,correct_answer_rate,calibrated_abstention_rate,unnecessary_abstention_rate,answerable_count,unanswerable_count,hallucination_count,calibrated_abstention_count,correct_count,unnecessary_abstention_count,style_only_score,avg_answerable_uncertainty,avg_unanswerable_uncertainty
0,-1,base,0.0,0.9,0.8,0.067,0.033,60,60,54,4,48,2,0.0,0.0,0.0
0,-1,prompt_only,0.0,0.433,0.45,0.267,0.417,60,60,26,16,27,25,0.0,0.0,0.0
0,9,steering_a-1.25,-1.25,0.617,0.733,0.25,0.1,60,60,37,15,44,6,0.0,0.0,0.0
0,9,steering_a-1.0,-1.0,0.7,0.75,0.167,0.067,60,60,42,10,45,4,0.0,0.0,0.0
0,9,steering_a-0.75,-0.75,0.733,0.783,0.183,0.067,60,60,44,11,47,4,0.0,0.0,0.0
0,9,steering_a-0.5,-0.5,0.783,0.783,0.133,0.05,60,60,47,8,47,3,0.0,0.0,0.0
0,9,steering_a0.0,0.0,0.9,0.8,0.067,0.033,60,60,54,4,48,2,0.0,0.0,0.0
0,9,random_a-1.25,-1.25,0.733,0.817,0.183,0.05,60,60,44,11,49,3,0.0,0.0,0.0
0,9,random_a-1.0,-1.0,0.75,0.8,0.183,0.05,60,60,45,11,48,3,0.0,0.0,0.0
0,9,random_a-0.75,-0.75,0.833,0.8,0.083,0.017,60,60,50,5,48,1,0.0,0.0,0.0
0,9,random_a-0.5,-0.5,0.783,0.8,0.15,0.033,60,60,47,9,48,2,0.0,0.0,0.0
0,9,shuffled_a-1.25,-1.25,0.667,0.733,0.167,0.033,60,60,40,10,44,2,0.0,0.0,0.0
0,9,shuffled_a-1.0,-1.0,0.65,0.717,0.167,0.017,60,60,39,10,43,1,0.0,0.0,0.0
0,9,shuffled_a-0.75,-0.75,0.767,0.8,0.15,0.017,60,60,46,9,48,1,0.0,0.0,0.0
0,9,shuffled_a-0.5,-0.5,0.833,0.767,0.083,0.033,60,60,50,5,46,2,0.0,0.0,0.0
0,12,steering_a-1.25,-1.25,0.483,0.733,0.3,0.183,60,60,29,18,44,11,0.0,0.0,0.0
0,12,steering_a-1.0,-1.0,0.583,0.7,0.233,0.15,60,60,35,14,42,9,0.0,0.0,0.0
0,12,steering_a-0.75,-0.75,0.733,0.733,0.133,0.1,60,60,44,8,44,6,0.0,0.0,0.0
0,12,steering_a-0.5,-0.5,0.7,0.783,0.183,0.133,60,60,42,11,47,8,0.0,0.0,0.0
0,12,steering_a0.0,0.0,0.9,0.8,0.067,0.033,60,60,54,4,48,2,0.0,0.0,0.0
0,12,random_a-1.25,-1.25,0.9,0.817,0.067,0.05,60,60,54,4,49,3,0.0,0.0,0.0
0,12,random_a-1.0,-1.0,0.883,0.817,0.083,0.05,60,60,53,5,49,3,0.0,0.0,0.0
0,12,random_a-0.75,-0.75,0.867,0.8,0.083,0.033,60,60,52,5,48,2,0.0,0.0,0.0
0,12,random_a-0.5,-0.5,0.85,0.783,0.1,0.05,60,60,51,6,47,3,0.0,0.0,0.0
0,12,shuffled_a-1.25,-1.25,0.667,0.783,0.25,0.033,60,60,40,15,47,2,0.0,0.0,0.0
0,12,shuffled_a-1.0,-1.0,0.733,0.8,0.2,0.05,60,60,44,12,48,3,0.0,0.0,0.0
0,12,shuffled_a-0.75,-0.75,0.817,0.8,0.1,0.083,60,60,49,6,48,5,0.0,0.0,0.0
0,12,shuffled_a-0.5,-0.5,0.833,0.783,0.117,0.067,60,60,50,7,47,4,0.0,0.0,0.0
0,15,steering_a-1.25,-1.25,0.717,0.8,0.183,0.067,60,60,43,11,48,4,0.0,0.0,0.0
0,15,steering_a-1.0,-1.0,0.75,0.767,0.183,0.033,60,60,45,11,46,2,0.0,0.0,0.0
0,15,steering_a-0.75,-0.75,0.8,0.733,0.133,0.017,60,60,48,8,44,1,0.0,0.0,0.0
0,15,steering_a-0.5,-0.5,0.817,0.767,0.133,0.017,60,60,49,8,46,1,0.0,0.0,0.0
0,15,steering_a0.0,0.0,0.9,0.8,0.067,0.033,60,60,54,4,48,2,0.0,0.0,0.0
0,15,random_a-1.25,-1.25,0.85,0.783,0.033,0.05,60,60,51,2,47,3,0.0,0.0,0.0
0,15,random_a-1.0,-1.0,0.833,0.783,0.067,0.067,60,60,50,4,47,4,0.0,0.0,0.0
0,15,random_a-0.75,-0.75,0.9,0.783,0.05,0.067,60,60,54,3,47,4,0.0,0.0,0.0
0,15,random_a-0.5,-0.5,0.9,0.767,0.033,0.067,60,60,54,2,46,4,0.0,0.0,0.0
0,15,shuffled_a-1.25,-1.25,0.817,0.783,0.083,0.05,60,60,49,5,47,3,0.0,0.0,0.0
0,15,shuffled_a-1.0,-1.0,0.8,0.8,0.1,0.033,60,60,48,6,48,2,0.0,0.0,0.0
0,15,shuffled_a-0.75,-0.75,0.833,0.8,0.117,0.033,60,60,50,7,48,2,0.0,0.0,0.0
