seed,layer,mode,alpha,hallucination_rate,calibrated_abstention_rate,correct_answer_rate,unnecessary_abstention_rate,style_only_score,answerable_count,unanswerable_count,hallucination_count,calibrated_abstention_count,correct_count,unnecessary_abstention_count,avg_answerable_uncertainty,avg_unanswerable_uncertainty
0,-1,base,0.0,0.95,0.0,0.5667,0.0167,0.0174,60,60,57,0,34,1,0.0167,0.0
0,-1,prompt_only,0.0,0.4167,0.1667,0.1833,0.2667,0.0781,60,60,25,10,11,16,0.0,0.0333
0,11,steering_a-1.1,-1.1,0.5333,0.15,0.4833,0.15,0.092,60,60,32,9,29,9,0.0333,0.0167
0,11,steering_a-1.0,-1.0,0.5667,0.15,0.5167,0.1333,0.0867,60,60,34,9,31,8,0.05,0.0
0,11,steering_a-0.9,-0.9,0.5667,0.15,0.4667,0.0833,0.0578,60,60,34,9,28,5,0.0333,0.0
0,11,steering_a-0.8,-0.8,0.6167,0.15,0.5,0.05,0.0266,60,60,37,9,30,3,0.0167,0.0
0,11,steering_a-0.7,-0.7,0.6833,0.1333,0.4667,0.0333,0.0481,60,60,41,8,28,2,0.0333,0.0
0,11,steering_a-0.6,-0.6,0.7333,0.0667,0.45,0.0333,0.0448,60,60,44,4,27,2,0.0333,0.0
0,11,steering_a-0.5,-0.5,0.7167,0.05,0.4833,0.0167,0.0459,60,60,43,3,29,1,0.0333,0.0
0,11,steering_a0.0,0.0,0.95,0.0,0.5667,0.0167,0.0174,60,60,57,0,34,1,0.0167,0.0
0,11,random_a-1.1,-1.1,0.7833,0.05,0.5833,0.0167,0.042,60,60,47,3,35,1,0.0,0.0333
0,11,random_a-1.0,-1.0,0.7833,0.0667,0.55,0.0167,0.042,60,60,47,4,33,1,0.0,0.0333
0,11,random_a-0.9,-0.9,0.8333,0.05,0.5667,0.0167,0.0198,60,60,50,3,34,1,0.0,0.0167
0,11,random_a-0.8,-0.8,0.8667,0.0167,0.5667,0.0167,0.019,60,60,52,1,34,1,0.0,0.0167
0,11,random_a-0.7,-0.7,0.9,0.0,0.55,0.0167,0.0,60,60,54,0,33,1,0.0,0.0
0,11,random_a-0.6,-0.6,0.9,0.0,0.55,0.0167,0.0,60,60,54,0,33,1,0.0,0.0
0,11,random_a-0.5,-0.5,0.9333,0.0,0.5667,0.0167,0.0,60,60,56,0,34,1,0.0,0.0
0,11,shuffled_a-1.1,-1.1,0.6667,0.1167,0.55,0.0333,0.0246,60,60,40,7,33,2,0.0167,0.0
0,11,shuffled_a-1.0,-1.0,0.7,0.1167,0.5333,0.0333,0.0235,60,60,42,7,32,2,0.0167,0.0
0,11,shuffled_a-0.9,-0.9,0.7167,0.1167,0.5167,0.0167,0.0229,60,60,43,7,31,1,0.0167,0.0
0,11,shuffled_a-0.8,-0.8,0.7333,0.0667,0.5167,0.0167,0.0224,60,60,44,4,31,1,0.0167,0.0
0,11,shuffled_a-0.7,-0.7,0.7667,0.0667,0.5,0.0167,0.0215,60,60,46,4,30,1,0.0167,0.0
0,11,shuffled_a-0.6,-0.6,0.7833,0.05,0.5167,0.0167,0.021,60,60,47,3,31,1,0.0167,0.0
0,11,shuffled_a-0.5,-0.5,0.8167,0.0333,0.55,0.0167,0.0202,60,60,49,2,33,1,0.0167,0.0
0,12,steering_a-1.1,-1.1,0.5833,0.1167,0.5,0.0833,0.0562,60,60,35,7,30,5,0.0333,0.0
0,12,steering_a-1.0,-1.0,0.65,0.0833,0.4667,0.0667,0.0253,60,60,39,5,28,4,0.0167,0.0
0,12,steering_a-0.9,-0.9,0.7,0.0833,0.4667,0.05,0.0235,60,60,42,5,28,3,0.0167,0.0
0,12,steering_a-0.8,-0.8,0.7,0.0667,0.4833,0.0333,0.0235,60,60,42,4,29,2,0.0167,0.0
0,12,steering_a-0.7,-0.7,0.75,0.05,0.4833,0.0333,0.0219,60,60,45,3,29,2,0.0167,0.0
0,12,steering_a-0.6,-0.6,0.8,0.05,0.55,0.0333,0.0,60,60,48,3,33,2,0.0,0.0
0,12,steering_a-0.5,-0.5,0.75,0.0833,0.55,0.0167,0.0219,60,60,45,5,33,1,0.0167,0.0
0,12,steering_a0.0,0.0,0.95,0.0,0.5667,0.0167,0.0174,60,60,57,0,34,1,0.0167,0.0
0,12,random_a-1.1,-1.1,0.95,0.0,0.6667,0.0167,0.0,60,60,57,0,40,1,0.0,0.0
0,12,random_a-1.0,-1.0,0.95,0.0,0.6333,0.0167,0.0,60,60,57,0,38,1,0.0,0.0
0,12,random_a-0.9,-0.9,0.95,0.0,0.6167,0.0167,0.0174,60,60,57,0,37,1,0.0,0.0167
0,12,random_a-0.8,-0.8,0.9167,0.0,0.6,0.0167,0.018,60,60,55,0,36,1,0.0,0.0167
0,12,random_a-0.7,-0.7,0.9,0.0167,0.5833,0.0167,0.0,60,60,54,1,35,1,0.0,0.0
0,12,random_a-0.6,-0.6,0.8667,0.0333,0.5833,0.0167,0.0,60,60,52,2,35,1,0.0,0.0
0,12,random_a-0.5,-0.5,0.8833,0.0333,0.5667,0.0167,0.0187,60,60,53,2,34,1,0.0167,0.0
0,12,shuffled_a-1.1,-1.1,0.7667,0.1,0.5667,0.0167,0.0858,60,60,46,6,34,1,0.0667,0.0
0,12,shuffled_a-1.0,-1.0,0.7833,0.1,0.5667,0.0167,0.063,60,60,47,6,34,1,0.05,0.0
0,12,shuffled_a-0.9,-0.9,0.7833,0.0667,0.55,0.0167,0.021,60,60,47,4,33,1,0.0167,0.0
0,12,shuffled_a-0.8,-0.8,0.8167,0.0667,0.55,0.0167,0.0202,60,60,49,4,33,1,0.0167,0.0
0,12,shuffled_a-0.7,-0.7,0.8,0.0667,0.55,0.0167,0.0206,60,60,48,4,33,1,0.0167,0.0
0,12,shuffled_a-0.6,-0.6,0.85,0.0333,0.5667,0.0167,0.0194,60,60,51,2,34,1,0.0167,0.0
0,12,shuffled_a-0.5,-0.5,0.8833,0.0167,0.55,0.0167,0.0187,60,60,53,1,33,1,0.0167,0.0
0,13,steering_a-1.1,-1.1,0.5667,0.1,0.4667,0.0667,0.0289,60,60,34,6,28,4,0.0167,0.0
0,13,steering_a-1.0,-1.0,0.5833,0.0667,0.4833,0.05,0.0562,60,60,35,4,29,3,0.0333,0.0
0,13,steering_a-0.9,-0.9,0.5667,0.0833,0.5333,0.05,0.0289,60,60,34,5,32,3,0.0167,0.0
0,13,steering_a-0.8,-0.8,0.6,0.0833,0.5333,0.05,0.0273,60,60,36,5,32,3,0.0167,0.0
0,13,steering_a-0.7,-0.7,0.6333,0.0667,0.5333,0.0333,0.0259,60,60,38,4,32,2,0.0167,0.0
0,13,steering_a-0.6,-0.6,0.6833,0.0833,0.5333,0.0333,0.024,60,60,41,5,32,2,0.0167,0.0
0,13,steering_a-0.5,-0.5,0.75,0.0667,0.5667,0.0167,0.0219,60,60,45,4,34,1,0.0167,0.0
0,13,steering_a0.0,0.0,0.95,0.0,0.5667,0.0167,0.0174,60,60,57,0,34,1,0.0167,0.0
0,13,random_a-1.1,-1.1,0.95,0.0167,0.6,0.0,0.0174,60,60,57,1,36,0,0.0167,0.0
0,13,random_a-1.0,-1.0,0.95,0.0167,0.5667,0.0,0.0174,60,60,57,1,34,0,0.0167,0.0
0,13,random_a-0.9,-0.9,0.9333,0.0,0.5833,0.0,0.0177,60,60,56,0,35,0,0.0167,0.0
0,13,random_a-0.8,-0.8,0.95,0.0,0.5667,0.0,0.0174,60,60,57,0,34,0,0.0167,0.0
0,13,random_a-0.7,-0.7,0.95,0.0,0.6,0.0,0.0174,60,60,57,0,36,0,0.0167,0.0
0,13,random_a-0.6,-0.6,0.95,0.0,0.6,0.0,0.0174,60,60,57,0,36,0,0.0167,0.0
0,13,random_a-0.5,-0.5,0.9167,0.0167,0.5833,0.0167,0.018,60,60,55,1,35,1,0.0167,0.0
0,13,shuffled_a-1.1,-1.1,0.6667,0.0667,0.5,0.0167,0.0493,60,60,40,4,30,1,0.0,0.0333
0,13,shuffled_a-1.0,-1.0,0.7,0.05,0.5333,0.0167,0.0,60,60,42,3,32,1,0.0,0.0
0,13,shuffled_a-0.9,-0.9,0.75,0.0333,0.5333,0.0167,0.0,60,60,45,2,32,1,0.0,0.0
0,13,shuffled_a-0.8,-0.8,0.8,0.0167,0.55,0.0167,0.0,60,60,48,1,33,1,0.0,0.0
0,13,shuffled_a-0.7,-0.7,0.7667,0.0,0.5833,0.0167,0.0,60,60,46,0,35,1,0.0,0.0
0,13,shuffled_a-0.6,-0.6,0.7833,0.0,0.5667,0.0167,0.021,60,60,47,0,34,1,0.0167,0.0
0,13,shuffled_a-0.5,-0.5,0.8333,0.0,0.5667,0.0167,0.0198,60,60,50,0,34,1,0.0167,0.0
