sample_id,label,mode,token_index,generated_token_id,generated_token,entropy_t,max_prob_t,uncertainty_mass_t,gate,alpha
0,answerable,entropy_gate_a-1.0,0,220, ,2.189076,0.569751,0.002845,0.638123,-0.638123
0,answerable,entropy_gate_a-1.0,1,19,4,0.118049,0.019327,0.0,0.00352,-0.00352
0,answerable,entropy_gate_a-1.0,2,18,3,0.021862,0.002159,1e-06,0.00264,-0.00264
0,answerable,entropy_gate_a-1.0,3,19,4,0.017193,0.0015,1e-06,0.002603,-0.002603
0,answerable,entropy_gate_a-1.0,4,198,"
",2.654501,0.587783,0.000192,0.876912,-0.876912
0,answerable,entropy_gate_a-1.0,5,69769,Explanation,2.682228,0.58981,0.000161,0.885612,-0.885612
0,answerable,entropy_gate_a-1.0,6,369, for,0.61655,0.291999,3e-06,0.015514,-0.015514
0,answerable,entropy_gate_a-1.0,7,419, this,0.194062,0.040613,1e-06,0.004417,-0.004417
0,answerable,entropy_gate_a-1.0,8,4226, answer,0.336918,0.075502,0.0,0.006765,-0.006765
0,answerable,entropy_gate_a-1.0,9,25,:,0.057137,0.009802,0.0,0.002934,-0.002934
0,answerable,entropy_gate_a-1.0,10,576, The,2.028265,0.575248,3e-06,0.521186,-0.521186
0,answerable,entropy_gate_a-1.0,11,1376, key,3.518867,0.8181,0.020375,0.989611,-0.989611
0,answerable,entropy_gate_a-1.0,12,1995, information,2.796796,0.689033,0.445906,0.916091,-0.916091
0,answerable,entropy_gate_a-1.0,13,2661, given,2.53473,0.726624,0.209774,0.832603,-0.832603
0,answerable,entropy_gate_a-1.0,14,304, in,1.058529,0.26859,0.0327,0.056019,-0.056019
0,answerable,entropy_gate_a-1.0,15,279, the,0.054725,0.006709,4e-06,0.002913,-0.002913
0,answerable,entropy_gate_a-1.0,16,3405, question,1.305794,0.248657,0.002076,0.110798,-0.110798
0,answerable,entropy_gate_a-1.0,17,374, is,0.740213,0.142899,0.00372,0.022327,-0.022327
0,answerable,entropy_gate_a-1.0,18,330," """,1.870932,0.622954,0.00299,0.404391,-0.404391
0,answerable,entropy_gate_a-1.0,19,81478,Ultra,0.294676,0.040472,6e-06,0.005964,-0.005964
0,answerable,entropy_gate_a-1.0,20,1955,Node,0.013399,0.001413,0.0,0.002574,-0.002574
0,answerable,entropy_gate_a-1.0,21,16994, achieved,0.09313,0.012942,1e-06,0.003267,-0.003267
0,answerable,entropy_gate_a-1.0,22,4541, active,0.040881,0.004114,1e-06,0.002794,-0.002794
0,answerable,entropy_gate_a-1.0,23,16348,_users,0.065533,0.009902,0.0,0.003008,-0.003008
0,answerable,entropy_gate_a-1.0,24,320, (,0.329924,0.049727,6e-06,0.006625,-0.006625
0,answerable,entropy_gate_a-1.0,25,42,K,0.007319,0.000683,2e-06,0.002527,-0.002527
0,answerable,entropy_gate_a-1.0,26,8,),0.088256,0.012542,0.0,0.00322,-0.00322
0,answerable,entropy_gate_a-1.0,27,315, of,0.04135,0.004926,6e-06,0.002798,-0.002798
0,answerable,entropy_gate_a-1.0,28,220, ,0.050556,0.005378,1e-06,0.002876,-0.002876
0,answerable,entropy_gate_a-1.0,29,19,4,0.001205,9.4e-05,0.0,0.002482,-0.002482
0,answerable,entropy_gate_a-1.0,30,18,3,0.001649,0.000131,0.0,0.002485,-0.002485
0,answerable,entropy_gate_a-1.0,31,19,4,0.001012,7.5e-05,0.0,0.00248,-0.00248
0,answerable,entropy_gate_a-1.0,32,518, at,0.20587,0.034649,7e-06,0.004576,-0.004576
0,answerable,entropy_gate_a-1.0,33,1181, its,0.009711,0.000863,0.0,0.002546,-0.002546
0,answerable,entropy_gate_a-1.0,34,56648, Cedar,0.003832,0.000264,0.0,0.002501,-0.002501
0,answerable,entropy_gate_a-1.0,35,34205, Ridge,0.004446,0.000447,0.0,0.002506,-0.002506
0,answerable,entropy_gate_a-1.0,36,12481, facility,0.008619,0.000775,0.0,0.002537,-0.002537
0,answerable,entropy_gate_a-1.0,37,1189,".""",1.304866,0.379181,1.7e-05,0.110524,-0.110524
0,answerable,entropy_gate_a-1.0,38,1096, This,1.999842,0.671475,7e-06,0.499882,-0.499882
0,answerable,entropy_gate_a-1.0,39,5961, directly,1.944239,0.443837,0.026814,0.458276,-0.458276
0,answerable,entropy_gate_a-1.0,40,11253, answers,1.788865,0.680244,0.000165,0.346739,-0.346739
0,answerable,entropy_gate_a-1.0,41,279, the,0.358686,0.073804,0.000713,0.007218,-0.007218
0,answerable,entropy_gate_a-1.0,42,3405, question,0.467944,0.068288,0.000826,0.00999,-0.00999
0,answerable,entropy_gate_a-1.0,43,553, by,1.743727,0.410039,0.001357,0.316735,-0.316735
0,answerable,entropy_gate_a-1.0,44,8241, providing,1.375239,0.543148,3.5e-05,0.133047,-0.133047
0,answerable,entropy_gate_a-1.0,45,279, the,0.253566,0.052837,2.5e-05,0.005276,-0.005276
0,answerable,entropy_gate_a-1.0,46,3151, specific,2.055989,0.714487,0.012023,0.541893,-0.541893
0,answerable,entropy_gate_a-1.0,47,897, value,0.982893,0.235701,0.000195,0.04516,-0.04516
1,answerable,entropy_gate_a-1.0,0,647, V,1.88458,0.586049,0.000136,0.414289,-0.414289
1,answerable,entropy_gate_a-1.0,1,24806,antage,0.000962,6.1e-05,0.0,0.00248,-0.00248
1,answerable,entropy_gate_a-1.0,2,16055,Cloud,0.020907,0.002459,0.0,0.002632,-0.002632
