sample_id,label,mode,probe_score,gate,alpha_applied
-1,answerable,probe_gate_a-1.0,0.999766,0.006708,-0.0067084046588774034
-1,answerable,probe_gate_a-1.0,0.991243,0.007301,-0.007300922225487983
-1,unanswerable,probe_gate_a-1.0,0.012363,0.992433,-0.9924330541735921
-1,answerable,probe_gate_a-1.0,0.821282,0.038686,-0.03868611684381436
-1,unanswerable,probe_gate_a-1.0,0.016247,0.992136,-0.9921357269386667
-1,answerable,probe_gate_a-1.0,0.99975,0.00671,-0.006709521424642582
-1,answerable,probe_gate_a-1.0,0.942779,0.0118,-0.011800002563725973
-1,unanswerable,probe_gate_a-1.0,0.005727,0.992915,-0.9929154815433442
-1,answerable,probe_gate_a-1.0,0.997843,0.006838,-0.006837812713372911
-1,unanswerable,probe_gate_a-1.0,0.018032,0.991995,-0.9919952135497406
-1,answerable,probe_gate_a-1.0,0.999413,0.006732,-0.00673201699217885
-1,answerable,probe_gate_a-1.0,0.860111,0.026568,-0.026568261888331265
-1,answerable,probe_gate_a-1.0,0.893165,0.019234,-0.019234117910302603
-1,unanswerable,probe_gate_a-1.0,0.031772,0.990827,-0.9908270514218536
-1,answerable,probe_gate_a-1.0,0.912536,0.015901,-0.01590077934427323
-1,unanswerable,probe_gate_a-1.0,0.011947,0.992464,-0.9924642018196453
-1,unanswerable,probe_gate_a-1.0,0.00336,0.99308,-0.9930800291644963
-1,unanswerable,probe_gate_a-1.0,0.003486,0.993071,-0.9930713667799969
-1,answerable,probe_gate_a-1.0,0.651411,0.180331,-0.18033073327127364
-1,unanswerable,probe_gate_a-1.0,0.006028,0.992894,-0.9928942274583662
-1,unanswerable,probe_gate_a-1.0,0.003546,0.993067,-0.9930672443544842
-1,unanswerable,probe_gate_a-1.0,0.00295,0.993108,-0.9931081799609587
-1,unanswerable,probe_gate_a-1.0,0.576443,0.317686,-0.3176860620142594
-1,unanswerable,probe_gate_a-1.0,0.009926,0.992614,-0.9926138882464163
-1,answerable,probe_gate_a-1.0,0.385226,0.759098,-0.7590980042636416
-1,answerable,probe_gate_a-1.0,0.999852,0.006703,-0.006702709087458253
-1,answerable,probe_gate_a-1.0,0.908246,0.016586,-0.016586246959692325
-1,answerable,probe_gate_a-1.0,0.971697,0.008863,-0.008863016238058853
-1,answerable,probe_gate_a-1.0,0.999897,0.0067,-0.006699717311546506
-1,unanswerable,probe_gate_a-1.0,0.004689,0.992988,-0.9929881148757628
-1,answerable,probe_gate_a-1.0,0.998361,0.006803,-0.006802665097038991
-1,unanswerable,probe_gate_a-1.0,0.000508,0.993273,-0.993273271100648
-1,unanswerable,probe_gate_a-1.0,0.006177,0.992884,-0.9928837272382782
-1,answerable,probe_gate_a-1.0,0.99724,0.006879,-0.006878841792170543
-1,unanswerable,probe_gate_a-1.0,0.023178,0.991576,-0.9915760715771125
-1,unanswerable,probe_gate_a-1.0,0.00652,0.992859,-0.9928594535431161
-1,unanswerable,probe_gate_a-1.0,0.002134,0.993164,-0.9931637635782753
-1,answerable,probe_gate_a-1.0,0.908487,0.016547,-0.016546988829077156
-1,unanswerable,probe_gate_a-1.0,0.009006,0.992681,-0.9926810066391697
-1,answerable,probe_gate_a-1.0,0.447163,0.629104,-0.629103661933592
-1,answerable,probe_gate_a-1.0,0.999731,0.006711,-0.006710735034486049
-1,unanswerable,probe_gate_a-1.0,0.019878,0.991847,-0.9918473336667941
-1,answerable,probe_gate_a-1.0,0.880668,0.021739,-0.021738743150603975
-1,unanswerable,probe_gate_a-1.0,0.008364,0.992728,-0.9927275437208427
-1,unanswerable,probe_gate_a-1.0,0.092131,0.983352,-0.9833522155458014
-1,unanswerable,probe_gate_a-1.0,0.008064,0.992749,-0.9927491908178676
-1,answerable,probe_gate_a-1.0,0.880707,0.02173,-0.02173045449900395
-1,answerable,probe_gate_a-1.0,0.819549,0.039336,-0.03933573811092551
-1,unanswerable,probe_gate_a-1.0,0.007766,0.992771,-0.992770556285994
-1,unanswerable,probe_gate_a-1.0,0.00118,0.993228,-0.9932282636562153
-1,unanswerable,probe_gate_a-1.0,0.002381,0.993147,-0.9931469839699272
-1,answerable,probe_gate_a-1.0,0.980984,0.008083,-0.008083259123708752
-1,answerable,probe_gate_a-1.0,0.995766,0.00698,-0.0069803126864431
-1,unanswerable,probe_gate_a-1.0,0.011056,0.992531,-0.9925305702178995
-1,unanswerable,probe_gate_a-1.0,0.010586,0.992565,-0.9925653050643036
-1,answerable,probe_gate_a-1.0,0.99435,0.007079,-0.007079101872594281
-1,answerable,probe_gate_a-1.0,0.973107,0.00874,-0.008739957189627078
-1,unanswerable,probe_gate_a-1.0,0.01212,0.992451,-0.9924512954516101
-1,answerable,probe_gate_a-1.0,0.983181,0.007909,-0.007909020358525249
-1,answerable,probe_gate_a-1.0,0.840637,0.032097,-0.03209690956302716
