seed,layer,mode,alpha,vector_type,hallucination_rate,calibrated_abstention_rate,correct_answer_rate,unnecessary_abstention_rate,answerable_count,unanswerable_count,hallucination_count,calibrated_abstention_count,correct_count,unnecessary_abstention_count
0,-1,base,0.0,none,0.8667,0.0667,0.6,0.0,30,30,26,2,18,0
0,-1,prompt_only,0.0,none,0.4,0.1333,0.0667,0.2,30,30,12,4,2,6
0,12,steering_a-1.00,-1.0,steering,0.6667,0.1,0.5333,0.0667,30,30,20,3,16,2
0,12,oracle_gate_a-1.0,-1.0,steering,0.6667,0.1,0.6,0.0,30,30,20,3,18,0
0,12,two_pass_base_no_steering,0.0,none,1.0,0.0,0.7333,0.0,30,30,30,0,22,0
0,12,two_pass_tiny_alpha-0.02,-0.02,steering,1.0,0.0,0.7333,0.0,30,30,30,0,22,0
0,12,two_pass_open_loop_full_alpha-1.00,-1.0,steering,0.8,0.2,0.7333,0.0,30,30,24,6,22,0
0,12,soft_prefill_probe_gate_a-1.0,-1.0,steering,0.8333,0.1667,0.7333,0.0,30,30,25,5,22,0
0,12,random_soft_prefill_probe_gate_a-1.0,-1.0,random,1.0,0.0,0.7333,0.0,30,30,30,0,22,0
0,12,shuffled_soft_prefill_probe_gate_a-1.0,-1.0,shuffled,1.0,0.0,0.7333,0.0,30,30,30,0,22,0
0,12,hard_prefill_probe_gate_a-1.0,-1.0,steering,0.8,0.2,0.7333,0.0,30,30,24,6,22,0
0,12,random_hard_prefill_probe_gate_a-1.0,-1.0,random,1.0,0.0,0.7333,0.0,30,30,30,0,22,0
0,12,shuffled_hard_prefill_probe_gate_a-1.0,-1.0,shuffled,1.0,0.0,0.7333,0.0,30,30,30,0,22,0
