seed,layer,mode,alpha,vector_type,hallucination_rate,calibrated_abstention_rate,correct_answer_rate,unnecessary_abstention_rate,answerable_count,unanswerable_count
0,-1,base,0.0,none,0.8167,0.0833,0.55,0.0,60,60
0,12,steering_a-1.00,-1.0,steering,0.7,0.1333,0.4667,0.0667,60,60
0,12,oracle_gate_a-1.0,-1.0,steering,0.7,0.1333,0.55,0.0,60,60
0,12,single_pass_hard_gate_a-1.0,-1.0,steering,0.7,0.1333,0.55,0.0,60,60
0,12,random_single_pass_hard_gate_a-1.0,-1.0,random,0.9333,0.0333,0.55,0.0,60,60
0,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled,0.75,0.0833,0.55,0.0,60,60
1,-1,base,0.0,none,0.8167,0.0667,0.5833,0.0,60,60
2,-1,base,0.0,none,0.8,0.0667,0.45,0.0,60,60
0,-1,base,0.0,none,0.85,0.0833,0.5833,0.0,60,60
0,12,steering_a-1.00,-1.0,steering,0.7333,0.0333,0.4667,0.0333,60,60
0,12,oracle_gate_a-1.0,-1.0,steering,0.7333,0.0333,0.5833,0.0,60,60
0,12,single_pass_hard_gate_a-1.0,-1.0,steering,0.7333,0.0333,0.5833,0.0,60,60
0,12,random_single_pass_hard_gate_a-1.0,-1.0,random,0.9833,0.0,0.5833,0.0,60,60
0,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled,0.75,0.0667,0.5833,0.0,60,60
1,-1,base,0.0,none,0.8667,0.0167,0.7167,0.0,60,60
2,-1,base,0.0,none,0.8667,0.0833,0.6333,0.0,60,60
0,12,single_pass_hard_gate_a-0.8,-0.8,steering,0.7167,0.1333,0.55,0.0,60,60
0,12,random_single_pass_hard_gate_a-0.8,-0.8,random,0.9,0.05,0.55,0.0,60,60
0,12,shuffled_single_pass_hard_gate_a-0.8,-0.8,shuffled,0.8167,0.0667,0.55,0.0,60,60
0,12,single_pass_hard_gate_a-1.2,-1.2,steering,0.6667,0.1167,0.55,0.0,60,60
0,12,random_single_pass_hard_gate_a-1.2,-1.2,random,0.95,0.0167,0.55,0.0,60,60
0,12,shuffled_single_pass_hard_gate_a-1.2,-1.2,shuffled,0.7333,0.1,0.55,0.0,60,60
