experiment,layer,alpha,base_rate,oracle_rate,oracle_delta,snr,inter,intra_syc,intra_nonsyc,probe_train_acc,probe_cv_acc,behavior,seed,mode,base_correct_rate,oracle_correct_rate
D1,6,0.8,0.7,0.7,0.0,1.2344513,2.16231,2.018876552581787,1.4843963384628296,1.0,0.9666666666666667,sycophancy,0,oracle_only,,
D1,6,1.0,0.7,0.7,0.0,1.2344513,2.16231,2.018876552581787,1.4843963384628296,1.0,0.9666666666666667,sycophancy,0,oracle_only,,
D1,6,1.2,0.7,0.6666666666666667,0.033333333333333215,1.2344513,2.16231,2.018876552581787,1.4843963384628296,1.0,0.9666666666666667,sycophancy,0,oracle_only,,
D1,10,0.8,0.7,0.7,0.0,1.2444615,3.0148292,2.829822063446045,2.0153729915618896,1.0,0.9333333333333332,sycophancy,0,oracle_only,,
D1,10,1.0,0.7,0.7,0.0,1.2444615,3.0148292,2.829822063446045,2.0153729915618896,1.0,0.9333333333333332,sycophancy,0,oracle_only,,
D1,10,1.2,0.7,0.7,0.0,1.2444615,3.0148292,2.829822063446045,2.0153729915618896,1.0,0.9333333333333332,sycophancy,0,oracle_only,,
D1,14,0.8,0.7,0.7,0.0,1.2671177,5.62842,5.426053047180176,3.457761764526367,1.0,0.9333333333333332,sycophancy,0,oracle_only,,
D1,14,1.0,0.7,0.7,0.0,1.2671177,5.62842,5.426053047180176,3.457761764526367,1.0,0.9333333333333332,sycophancy,0,oracle_only,,
D1,14,1.2,0.7,0.7,0.0,1.2671177,5.62842,5.426053047180176,3.457761764526367,1.0,0.9333333333333332,sycophancy,0,oracle_only,,
D1,18,0.8,0.7,0.7,0.0,1.0814116,8.13469,9.578612327575684,5.465965270996094,1.0,0.9,sycophancy,0,oracle_only,,
D1,18,1.0,0.7,0.7,0.0,1.0814116,8.13469,9.578612327575684,5.465965270996094,1.0,0.9,sycophancy,0,oracle_only,,
D1,18,1.2,0.7,0.7,0.0,1.0814116,8.13469,9.578612327575684,5.465965270996094,1.0,0.9,sycophancy,0,oracle_only,,
D1,22,0.8,0.7,0.7,0.0,0.965239,17.069181,23.036012649536133,12.331771850585938,1.0,0.9,sycophancy,0,oracle_only,,
D1,22,1.0,0.7,0.7,0.0,0.965239,17.069181,23.036012649536133,12.331771850585938,1.0,0.9,sycophancy,0,oracle_only,,
D1,22,1.2,0.7,0.7,0.0,0.965239,17.069181,23.036012649536133,12.331771850585938,1.0,0.9,sycophancy,0,oracle_only,,
D2,12,-0.6,,,-0.4,1.818777,4.403823,,,1.0,1.0,correctness,0,oracle_only,0.43333333333333335,0.03333333333333333
D2,12,-0.8,,,-0.4,1.818777,4.403823,,,1.0,1.0,correctness,0,oracle_only,0.43333333333333335,0.03333333333333333
D2,12,-1.0,,,-0.4,1.818777,4.403823,,,1.0,1.0,correctness,0,oracle_only,0.43333333333333335,0.03333333333333333
