hallucination_rate,correct_answer_rate,calibrated_abstention_rate,unnecessary_abstention_rate,style_only_score,seed,layer,mode,alpha,vector_type,scenario
0.8,0.6,0.0667,0.0,0.1029,1,12,base,0.0,none,large
0.55,0.6,0.0833,0.0,0.119,1,12,oracle_gate_a-0.8,-0.8,steering,large
0.55,0.6,0.0833,0.0,0.119,1,12,real_single_pass_hard_gate_a-0.8,-0.8,steering,large
0.85,0.6,0.0333,0.0,0.0969,1,12,random_single_pass_hard_gate_a-0.8,-0.8,random,large
0.6167,0.6,0.1,0.0,0.133,1,12,shuffled_single_pass_hard_gate_a-0.8,-0.8,shuffled,large
0.5,0.6,0.1333,0.0,0.1634,1,12,oracle_gate_a-1.2,-1.2,steering,large
0.5,0.6,0.1333,0.0,0.1634,1,12,real_single_pass_hard_gate_a-1.2,-1.2,steering,large
0.9,0.6,0.0167,0.0,0.0916,1,12,random_single_pass_hard_gate_a-1.2,-1.2,random,large
0.6,0.6,0.1,0.0,0.1366,1,12,shuffled_single_pass_hard_gate_a-1.2,-1.2,shuffled,large
0.8,0.4333,0.0667,0.0,0.0412,2,12,base,0.0,none,large
0.55,0.4333,0.1167,0.0,0.0893,2,12,oracle_gate_a-0.8,-0.8,steering,large
0.55,0.4333,0.1167,0.0,0.0893,2,12,real_single_pass_hard_gate_a-0.8,-0.8,steering,large
0.9,0.4333,0.0,0.0,0.0366,2,12,random_single_pass_hard_gate_a-0.8,-0.8,random,large
0.7167,0.4333,0.1167,0.0,0.0688,2,12,shuffled_single_pass_hard_gate_a-0.8,-0.8,shuffled,large
0.5833,0.4333,0.1,0.0,0.1124,2,12,oracle_gate_a-1.2,-1.2,steering,large
0.5833,0.4333,0.1,0.0,0.1124,2,12,real_single_pass_hard_gate_a-1.2,-1.2,steering,large
0.9,0.4333,0.0333,0.0,0.0366,2,12,random_single_pass_hard_gate_a-1.2,-1.2,random,large
0.5833,0.4333,0.2,0.0,0.0843,2,12,shuffled_single_pass_hard_gate_a-1.2,-1.2,shuffled,large
