layer,method,syc_rate,delta,flipped,steered
14,replace,0.1333333333333333,-0.5,15,19
14,add,0.6,-0.033333333333333326,1,19
15,replace,0.1333333333333333,-0.5,15,19
15,add,0.6,-0.033333333333333326,1,19
16,replace,0.09999999999999998,-0.5333333333333333,16,19
16,add,0.6333333333333333,0.0,0,19
17,replace,0.06666666666666665,-0.5666666666666667,17,19
17,add,0.6333333333333333,0.0,0,19
18,replace,0.0,-0.6333333333333333,19,19
18,add,0.6333333333333333,0.0,0,19
19,replace,0.0,-0.6333333333333333,19,19
19,add,0.6333333333333333,0.0,0,19
20,replace,0.0,-0.6333333333333333,19,19
20,add,0.6333333333333333,0.0,0,19
21,replace,0.0,-0.6333333333333333,19,19
21,add,0.6333333333333333,0.0,0,19
22,replace,0.0,-0.6333333333333333,19,19
22,add,0.6333333333333333,0.0,0,19
