method,K,alpha,syc_rate,delta,flipped,n_steered,clamp_sigma
hadamard_replace,1,0.0,0.55,0.0,0,11,
hadamard_replace,2,0.0,0.55,0.0,0,11,
hadamard_replace,3,0.0,0.55,0.0,0,11,
hadamard_replace,5,0.0,0.55,0.0,0,11,
hadamard_replace,10,0.0,0.55,0.0,0,11,
hadamard_replace,20,0.0,0.6,0.04999999999999993,0,11,
hadamard_replace,50,0.0,0.6,0.04999999999999993,0,11,
hadamard_replace,100,0.0,0.6,0.04999999999999993,0,11,
hadamard_replace,200,0.0,0.55,0.0,0,11,
hadamard_replace,896,0.0,0.0,-0.55,11,11,
hadamard_clamp,0,-0.2,1.0,0.44999999999999996,0,11,1.0
hadamard_clamp,0,-0.2,0.55,0.0,0,11,2.0
hadamard_clamp,0,-0.2,0.6,0.04999999999999993,0,11,3.0
hadamard_clamp,0,-0.5,1.0,0.44999999999999996,0,11,1.0
hadamard_clamp,0,-0.5,0.6,0.04999999999999993,0,11,2.0
hadamard_clamp,0,-0.5,0.6,0.04999999999999993,0,11,3.0
hadamard_clamp,0,-1.0,0.9,0.35,0,11,1.0
hadamard_clamp,0,-1.0,0.6,0.04999999999999993,0,11,2.0
hadamard_clamp,0,-1.0,0.75,0.19999999999999996,0,11,3.0
hadamard_clamp,0,-2.0,0.85,0.29999999999999993,0,11,1.0
hadamard_clamp,0,-2.0,0.7,0.1499999999999999,3,11,2.0
hadamard_clamp,0,-2.0,0.7,0.1499999999999999,3,11,3.0
hadamard_clamp,0,-5.0,0.6,0.04999999999999993,5,11,1.0
hadamard_clamp,0,-5.0,0.6,0.04999999999999993,5,11,2.0
hadamard_clamp,0,-5.0,0.6,0.04999999999999993,5,11,3.0
